dtt,rainsum,hidroyear
2023-09-01,2.3,2016
2023-09-06,2.4,2016
2023-09-11,3.8,2016
2023-09-16,5.3,2016
2023-09-21,13.0,2016
2023-09-26,16.7,2016
2023-10-01,18.2,2016
2023-10-06,22.099999999999998,2016
2023-10-11,31.0,2016
2023-10-16,50.6,2016
2023-10-21,61.3,2016
2023-10-26,70.2,2016
2023-10-31,70.3,2016
2023-11-05,71.6,2016
2023-11-10,79.19999999999999,2016
2023-11-15,79.19999999999999,2016
2023-11-20,86.29999999999998,2016
2023-11-25,116.99999999999999,2016
2023-11-30,144.2,2016
2023-12-05,164.89999999999998,2016
2023-12-10,168.29999999999998,2016
2023-12-15,174.29999999999998,2016
2023-12-20,176.49999999999997,2016
2023-12-25,194.09999999999997,2016
2023-12-30,227.09999999999997,2016
2024-01-04,294.0,2016
2024-01-09,308.3,2016
2024-01-14,340.2,2016
2024-01-19,360.59999999999997,2016
2024-01-24,400.4,2016
2024-01-29,406.4,2016
2024-02-03,408.2,2016
2024-02-08,409.4,2016
2024-02-13,430.0,2016
2024-02-18,444.1,2016
2024-02-23,489.6,2016
2024-02-28,548.4,2016
2024-03-05,579.1999999999999,2016
2024-03-10,621.4,2016
2024-03-15,654.5,2016
2024-03-20,665.7,2016
2024-03-25,703.5,2016
2024-03-30,756.6,2016
2024-04-04,765.3000000000001,2016
2024-04-09,780.3000000000001,2016
2024-04-14,781.7,2016
2024-04-19,783.7,2016
2024-04-24,804.4000000000001,2016
2024-04-29,830.5000000000001,2016
2024-05-04,831.0000000000001,2016
2024-05-09,840.1000000000001,2016
2024-05-14,840.1000000000001,2016
2024-05-19,856.9000000000001,2016
2024-05-24,895.5000000000001,2016
2024-05-29,905.9000000000001,2016
2024-06-03,905.9000000000001,2016
2024-06-08,906.4000000000001,2016
2024-06-13,906.4000000000001,2016
2024-06-18,906.4000000000001,2016
2024-06-23,906.4000000000001,2016
2024-06-28,911.6000000000001,2016
2024-07-03,911.6000000000001,2016
2024-07-08,911.6000000000001,2016
2024-07-13,911.6000000000001,2016
2024-07-18,911.6000000000001,2016
2024-07-23,911.6000000000001,2016
2024-07-28,911.6000000000001,2016
2024-08-02,911.6000000000001,2016
2024-08-07,911.7000000000002,2016
2024-08-12,911.7000000000002,2016
2024-08-17,912.0000000000001,2016
2024-08-22,913.1000000000001,2016
2024-08-27,913.6000000000001,2016
2023-09-01,0.6,2017
2023-09-06,29.2,2017
2023-09-11,54.099999999999994,2017
2023-09-16,65.89999999999999,2017
2023-09-21,79.3,2017
2023-09-26,89.0,2017
2023-10-01,89.0,2017
2023-10-06,90.3,2017
2023-10-11,126.8,2017
2023-10-16,177.6,2017
2023-10-21,182.79999999999998,2017
2023-10-26,186.29999999999998,2017
2023-10-31,190.79999999999998,2017
2023-11-05,193.79999999999998,2017
2023-11-10,200.1,2017
2023-11-15,207.1,2017
2023-11-20,208.1,2017
2023-11-25,241.5,2017
2023-11-30,268.1,2017
2023-12-05,327.8,2017
2023-12-10,328.2,2017
2023-12-15,336.2,2017
2023-12-20,367.3,2017
2023-12-25,388.1,2017
2023-12-30,401.90000000000003,2017
2024-01-04,422.1,2017
2024-01-09,475.90000000000003,2017
2024-01-14,492.70000000000005,2017
2024-01-19,514.9000000000001,2017
2024-01-24,553.2,2017
2024-01-29,590.1,2017
2024-02-03,634.3000000000001,2017
2024-02-08,703.0000000000001,2017
2024-02-13,753.4000000000001,2017
2024-02-18,758.2,2017
2024-02-23,768.9000000000001,2017
2024-02-28,772.0000000000001,2017
2024-03-05,813.4000000000001,2017
2024-03-10,853.3000000000001,2017
2024-03-15,869.6,2017
2024-03-20,878.9,2017
2024-03-25,881.1999999999999,2017
2024-03-30,886.8,2017
2024-04-04,889.5999999999999,2017
2024-04-09,897.6999999999999,2017
2024-04-14,898.0999999999999,2017
2024-04-19,898.3,2017
2024-04-24,913.0999999999999,2017
2024-04-29,919.6999999999999,2017
2024-05-04,925.4,2017
2024-05-09,926.6999999999999,2017
2024-05-14,926.6999999999999,2017
2024-05-19,926.6999999999999,2017
2024-05-24,926.6999999999999,2017
2024-05-29,926.6999999999999,2017
2024-06-03,951.6999999999999,2017
2024-06-08,1001.8,2017
2024-06-13,1002.0,2017
2024-06-18,1002.2,2017
2024-06-23,1002.2,2017
2024-06-28,1002.2,2017
2024-07-03,1002.2,2017
2024-07-08,1002.3000000000001,2017
2024-07-13,1006.8000000000001,2017
2024-07-18,1022.2,2017
2024-07-23,1023.5,2017
2024-07-28,1023.5,2017
2024-08-02,1029.3,2017
2024-08-07,1031.0,2017
2024-08-12,1031.0,2017
2024-08-17,1042.3,2017
2024-08-22,1042.3,2017
2024-08-27,1054.0,2017
2023-09-01,0.0,2018
2023-09-06,0.0,2018
2023-09-11,0.0,2018
2023-09-16,7.7,2018
2023-09-21,24.2,2018
2023-09-26,24.599999999999998,2018
2023-10-01,35.2,2018
2023-10-06,49.400000000000006,2018
2023-10-11,116.2,2018
2023-10-16,159.8,2018
2023-10-21,182.20000000000002,2018
2023-10-26,194.60000000000002,2018
2023-10-31,210.50000000000003,2018
2023-11-05,213.80000000000004,2018
2023-11-10,224.40000000000003,2018
2023-11-15,231.00000000000003,2018
2023-11-20,259.70000000000005,2018
2023-11-25,276.50000000000006,2018
2023-11-30,282.00000000000006,2018
2023-12-05,285.50000000000006,2018
2023-12-10,287.00000000000006,2018
2023-12-15,351.00000000000006,2018
2023-12-20,391.20000000000005,2018
2023-12-25,410.00000000000006,2018
2023-12-30,432.30000000000007,2018
2024-01-04,493.20000000000005,2018
2024-01-09,512.6,2018
2024-01-14,520.8000000000001,2018
2024-01-19,534.9000000000001,2018
2024-01-24,569.2,2018
2024-01-29,605.7,2018
2024-02-03,619.7,2018
2024-02-08,648.5,2018
2024-02-13,687.9,2018
2024-02-18,692.8,2018
2024-02-23,709.0,2018
2024-02-28,711.6,2018
2024-03-05,712.9,2018
2024-03-10,741.1,2018
2024-03-15,760.6,2018
2024-03-20,782.0,2018
2024-03-25,795.1,2018
2024-03-30,824.9,2018
2024-04-04,828.1999999999999,2018
2024-04-09,828.5999999999999,2018
2024-04-14,829.8999999999999,2018
2024-04-19,839.6999999999998,2018
2024-04-24,849.0999999999998,2018
2024-04-29,849.2999999999998,2018
2024-05-04,857.9999999999999,2018
2024-05-09,882.6999999999999,2018
2024-05-14,883.5999999999999,2018
2024-05-19,883.5999999999999,2018
2024-05-24,883.5999999999999,2018
2024-05-29,883.5999999999999,2018
2024-06-03,883.5999999999999,2018
2024-06-08,883.5999999999999,2018
2024-06-13,883.8,2018
2024-06-18,883.8,2018
2024-06-23,883.8,2018
2024-06-28,883.8,2018
2024-07-03,883.8,2018
2024-07-08,883.8,2018
2024-07-13,883.9,2018
2024-07-18,919.1999999999999,2018
2024-07-23,919.5999999999999,2018
2024-07-28,919.5999999999999,2018
2024-08-02,919.5999999999999,2018
2024-08-07,919.6999999999999,2018
2024-08-12,919.6999999999999,2018
2024-08-17,919.6999999999999,2018
2024-08-22,920.8,2018
2024-08-27,921.8,2018
2023-09-01,3.5000000000000004,2019
2023-09-06,24.4,2019
2023-09-11,39.9,2019
2023-09-16,39.9,2019
2023-09-21,44.4,2019
2023-09-26,46.5,2019
2023-10-01,81.0,2019
2023-10-06,91.9,2019
2023-10-11,91.9,2019
2023-10-16,116.80000000000001,2019
2023-10-21,117.30000000000001,2019
2023-10-26,118.9,2019
2023-10-31,124.7,2019
2023-11-05,161.9,2019
2023-11-10,195.4,2019
2023-11-15,198.3,2019
2023-11-20,218.9,2019
2023-11-25,224.1,2019
2023-11-30,235.0,2019
2023-12-05,261.6,2019
2023-12-10,271.6,2019
2023-12-15,280.20000000000005,2019
2023-12-20,297.70000000000005,2019
2023-12-25,319.00000000000006,2019
2023-12-30,350.6000000000001,2019
2024-01-04,364.6000000000001,2019
2024-01-09,389.30000000000007,2019
2024-01-14,392.4000000000001,2019
2024-01-19,408.0000000000001,2019
2024-01-24,419.8000000000001,2019
2024-01-29,441.7000000000001,2019
2024-02-03,503.4000000000001,2019
2024-02-08,552.3000000000001,2019
2024-02-13,594.9000000000001,2019
2024-02-18,618.0000000000001,2019
2024-02-23,632.6000000000001,2019
2024-02-28,657.5000000000001,2019
2024-03-04,659.0000000000001,2019
2024-03-09,673.3000000000001,2019
2024-03-14,686.5000000000001,2019
2024-03-19,708.2000000000002,2019
2024-03-24,721.1000000000001,2019
2024-03-29,747.1000000000001,2019
2024-04-03,767.5000000000001,2019
2024-04-08,767.5000000000001,2019
2024-04-13,784.9000000000001,2019
2024-04-18,797.1000000000001,2019
2024-04-23,797.5000000000001,2019
2024-04-28,800.5000000000001,2019
2024-05-03,806.7000000000002,2019
2024-05-08,806.7000000000002,2019
2024-05-13,806.7000000000002,2019
2024-05-18,807.1000000000001,2019
2024-05-23,807.1000000000001,2019
2024-05-28,807.1000000000001,2019
2024-06-02,807.1000000000001,2019
2024-06-07,807.1000000000001,2019
2024-06-12,807.2000000000002,2019
2024-06-17,807.2000000000002,2019
2024-06-22,807.2000000000002,2019
2024-06-27,807.2000000000002,2019
2024-07-02,807.2000000000002,2019
2024-07-07,807.2000000000002,2019
2024-07-12,807.2000000000002,2019
2024-07-17,807.2000000000002,2019
2024-07-22,807.2000000000002,2019
2024-07-27,807.2000000000002,2019
2024-08-01,807.2000000000002,2019
2024-08-06,807.2000000000002,2019
2024-08-11,816.5000000000001,2019
2024-08-16,816.7000000000002,2019
2024-08-21,816.7000000000002,2019
2024-08-26,816.9000000000002,2019
2024-08-31,817.8000000000002,2019
2023-09-05,8.7,2020
2023-09-10,14.299999999999999,2020
2023-09-15,32.1,2020
2023-09-20,32.4,2020
2023-09-25,35.699999999999996,2020
2023-09-30,42.199999999999996,2020
2023-10-05,42.3,2020
2023-10-10,44.199999999999996,2020
2023-10-15,85.6,2020
2023-10-20,98.39999999999999,2020
2023-10-25,99.3,2020
2023-10-30,99.3,2020
2023-11-04,100.2,2020
2023-11-09,112.2,2020
2023-11-14,112.5,2020
2023-11-19,132.1,2020
2023-11-24,138.2,2020
2023-11-29,177.1,2020
2023-12-04,192.0,2020
2023-12-09,200.6,2020
2023-12-14,203.1,2020
2023-12-19,220.6,2020
2023-12-24,292.9,2020
2023-12-29,322.79999999999995,2020
2024-01-03,345.49999999999994,2020
2024-01-08,367.49999999999994,2020
2024-01-13,408.8999999999999,2020
2024-01-18,446.69999999999993,2020
2024-01-23,462.19999999999993,2020
2024-01-28,462.99999999999994,2020
2024-02-02,494.8999999999999,2020
2024-02-07,506.2999999999999,2020
2024-02-12,564.6999999999999,2020
2024-02-17,587.8,2020
2024-02-22,590.6999999999999,2020
2024-02-27,631.1999999999999,2020
2024-03-04,637.9,2020
2024-03-09,652.6,2020
2024-03-14,691.3000000000001,2020
2024-03-19,701.4000000000001,2020
2024-03-24,718.1000000000001,2020
2024-03-29,755.2000000000002,2020
2024-04-03,774.7000000000002,2020
2024-04-08,792.0000000000001,2020
2024-04-13,822.5000000000001,2020
2024-04-18,823.0000000000001,2020
2024-04-23,825.9000000000001,2020
2024-04-28,825.9000000000001,2020
2024-05-03,828.0000000000001,2020
2024-05-08,828.0000000000001,2020
2024-05-13,832.0000000000001,2020
2024-05-18,832.0000000000001,2020
2024-05-23,839.8000000000001,2020
2024-05-28,839.8000000000001,2020
2024-06-02,845.7,2020
2024-06-07,845.7,2020
2024-06-12,845.7,2020
2024-06-17,845.7,2020
2024-06-22,845.7,2020
2024-06-27,851.0,2020
2024-07-02,851.0,2020
2024-07-07,851.0,2020
2024-07-12,851.0,2020
2024-07-17,852.1,2020
2024-07-22,853.7,2020
2024-07-27,853.7,2020
2024-08-01,858.0,2020
2024-08-06,858.0,2020
2024-08-11,858.1,2020
2024-08-16,858.1,2020
2024-08-21,858.2,2020
2024-08-26,858.5,2020
2024-08-31,860.7,2020
2023-09-05,9.0,2021
2023-09-10,10.8,2021
2023-09-15,22.900000000000002,2021
2023-09-20,38.7,2021
2023-09-25,40.5,2021
2023-09-30,42.1,2021
2023-10-05,63.3,2021
2023-10-10,65.6,2021
2023-10-15,65.6,2021
2023-10-20,65.6,2021
2023-10-25,72.39999999999999,2021
2023-10-30,82.69999999999999,2021
2023-11-04,84.19999999999999,2021
2023-11-09,92.49999999999999,2021
2023-11-14,114.89999999999998,2021
2023-11-19,122.79999999999998,2021
2023-11-24,172.7,2021
2023-11-29,203.2,2021
2023-12-04,237.7,2021
2023-12-09,242.7,2021
2023-12-14,299.09999999999997,2021
2023-12-19,342.29999999999995,2021
2023-12-24,377.59999999999997,2021
2023-12-29,382.59999999999997,2021
2024-01-03,384.79999999999995,2021
2024-01-08,396.9,2021
2024-01-13,428.29999999999995,2021
2024-01-18,454.09999999999997,2021
2024-01-23,477.79999999999995,2021
2024-01-28,507.09999999999997,2021
2024-02-02,544.8,2021
2024-02-07,569.1999999999999,2021
2024-02-12,591.9999999999999,2021
2024-02-17,624.9999999999999,2021
2024-02-22,652.6999999999999,2021
2024-02-27,671.9999999999999,2021
2024-03-04,687.9999999999999,2021
2024-03-09,716.3999999999999,2021
2024-03-14,761.5999999999999,2021
2024-03-19,776.8,2021
2024-03-24,796.1999999999999,2021
2024-03-29,797.1999999999999,2021
2024-04-03,827.9999999999999,2021
2024-04-08,836.8999999999999,2021
2024-04-13,836.8999999999999,2021
2024-04-18,836.8999999999999,2021
2024-04-23,836.8999999999999,2021
2024-04-28,839.6999999999998,2021
2024-05-03,839.6999999999998,2021
2024-05-08,841.7999999999998,2021
2024-05-13,841.7999999999998,2021
2024-05-18,841.7999999999998,2021
2024-05-23,841.7999999999998,2021
2024-05-28,842.5999999999998,2021
2024-06-02,851.3999999999997,2021
2024-06-07,851.3999999999997,2021
2024-06-12,851.3999999999997,2021
2024-06-17,853.0999999999998,2021
2024-06-22,853.0999999999998,2021
2024-06-27,853.0999999999998,2021
2024-07-02,853.0999999999998,2021
2024-07-07,853.0999999999998,2021
2024-07-12,853.0999999999998,2021
2024-07-17,853.0999999999998,2021
2024-07-22,853.0999999999998,2021
2024-07-27,853.0999999999998,2021
2024-08-01,854.5999999999998,2021
2024-08-06,861.0999999999998,2021
2024-08-11,861.1999999999998,2021
2024-08-16,861.1999999999998,2021
2024-08-21,864.7999999999998,2021
2024-08-26,865.6999999999998,2021
2024-08-31,874.3999999999999,2021
2023-09-05,0.1,2022
2023-09-10,0.4,2022
2023-09-15,3.9,2022
2023-09-20,3.9,2022
2023-09-25,12.3,2022
2023-09-30,15.100000000000001,2022
2023-10-05,15.100000000000001,2022
2023-10-10,15.100000000000001,2022
2023-10-15,22.0,2022
2023-10-20,22.1,2022
2023-10-25,22.1,2022
2023-10-30,22.1,2022
2023-11-04,22.200000000000003,2022
2023-11-09,25.400000000000002,2022
2023-11-14,25.6,2022
2023-11-19,32.400000000000006,2022
2023-11-24,37.10000000000001,2022
2023-11-29,41.30000000000001,2022
2023-12-04,53.40000000000001,2022
2023-12-09,75.60000000000001,2022
2023-12-14,124.30000000000001,2022
2023-12-19,139.3,2022
2023-12-24,150.8,2022
2023-12-29,180.4,2022
2024-01-03,201.6,2022
2024-01-08,211.0,2022
2024-01-13,212.2,2022
2024-01-18,230.0,2022
2024-01-23,254.6,2022
2024-01-28,326.8,2022
2024-02-02,367.0,2022
2024-02-07,385.7,2022
2024-02-12,408.5,2022
2024-02-17,418.2,2022
2024-02-22,434.8,2022
2024-02-27,438.2,2022
2024-03-04,438.8,2022
2024-03-09,445.2,2022
2024-03-14,462.7,2022
2024-03-19,484.3,2022
2024-03-24,501.2,2022
2024-03-29,519.8,2022
2024-04-03,535.1999999999999,2022
2024-04-08,539.5999999999999,2022
2024-04-13,539.8999999999999,2022
2024-04-18,540.2999999999998,2022
2024-04-23,540.2999999999998,2022
2024-04-28,544.4999999999999,2022
2024-05-03,606.6999999999999,2022
2024-05-08,617.6999999999999,2022
2024-05-13,617.8,2022
2024-05-18,617.8,2022
2024-05-23,618.0,2022
2024-05-28,620.0,2022
2024-06-02,620.0,2022
2024-06-07,620.0,2022
2024-06-12,620.0,2022
2024-06-17,620.0,2022
2024-06-22,620.0,2022
2024-06-27,620.0,2022
2024-07-02,620.0,2022
2024-07-07,620.0,2022
2024-07-12,620.0,2022
2024-07-17,620.1,2022
2024-07-22,620.1,2022
2024-07-27,622.7,2022
2024-08-01,625.3000000000001,2022
2024-08-06,625.5000000000001,2022
2024-08-11,635.3000000000001,2022
2024-08-16,635.4000000000001,2022
2024-08-21,635.4000000000001,2022
2024-08-26,635.4000000000001,2022
2024-08-31,636.7,2022
2023-09-05,9.5,2023
2023-09-10,11.4,2023
2023-09-15,13.200000000000001,2023
2023-09-20,13.3,2023
2023-09-25,16.0,2023
2023-09-30,18.6,2023
2023-10-05,19.5,2023
2023-10-10,19.6,2023
2023-10-15,21.200000000000003,2023
2023-10-20,28.400000000000002,2023
2023-10-25,29.000000000000004,2023
2023-10-30,29.000000000000004,2023
2023-11-04,33.400000000000006,2023
2023-11-09,59.10000000000001,2023
2023-11-14,62.00000000000001,2023
2023-11-19,67.60000000000001,2023
2023-11-24,106.20000000000002,2023
2023-11-29,157.0,2023
2023-12-04,169.7,2023
2023-12-09,190.29999999999998,2023
2023-12-14,233.5,2023
2023-12-19,245.3,2023
2023-12-24,250.70000000000002,2023
2023-12-29,273.90000000000003,2023
2024-01-03,296.50000000000006,2023
2024-01-08,299.70000000000005,2023
2024-01-13,328.90000000000003,2023
2024-01-18,338.1,2023
2024-01-23,362.40000000000003,2023
2024-01-28,382.20000000000005,2023
2024-02-02,405.30000000000007,2023
2024-02-07,477.50000000000006,2023
2024-02-12,499.6000000000001,2023
2024-02-17,581.0000000000001,2023
2024-02-22,637.1000000000001,2023
2024-02-27,641.9000000000001,2023
2024-03-03,663.4000000000001,2023
2024-03-08,704.0000000000001,2023
2024-03-13,716.3000000000001,2023
2024-03-18,730.5000000000001,2023
2024-03-23,732.9000000000001,2023
2024-03-28,746.9000000000001,2023
2024-04-02,769.6000000000001,2023
2024-04-07,780.0000000000001,2023
2024-04-12,780.9000000000001,2023
2024-04-17,780.9000000000001,2023
2024-04-22,784.0000000000001,2023
2024-04-27,788.8000000000001,2023
2024-05-02,808.1,2023
2024-05-07,808.1,2023
2024-05-12,813.5,2023
2024-05-17,830.4,2023
2024-05-22,830.4,2023
2024-05-27,830.4,2023
2024-06-01,830.4,2023
2024-06-06,830.4,2023
2024-06-11,830.4,2023
2024-06-16,830.9,2023
2024-06-21,831.1,2023
2024-06-26,831.1,2023
2024-07-01,831.1,2023
2024-07-06,831.1,2023
2024-07-11,831.1,2023
2024-07-16,831.1,2023
2024-07-21,831.1,2023
2024-07-26,831.1,2023
2024-07-31,831.1,2023
2024-08-05,833.1,2023
2024-08-10,833.1,2023
2024-08-15,833.1,2023
2024-08-20,833.1,2023
2024-08-25,834.1,2023
2024-08-30,834.1,2023
